	patient	component_size	other	CD15-Tumor	CD15+Tumor	Tcell	Bcell	BnTcell	Macrophage	Neutrophil	DC
507	0217	366	0.47540983606557374	0.1284153005464481	0.00546448087431694	0.1721311475409836	0.01366120218579235	0.00273224043715847	0.19672131147540983	0.00546448087431694	0.0
508	0217	398	0.3492462311557789	0.2663316582914573	0.0	0.23366834170854273	0.0	0.0	0.14321608040201006	0.005025125628140704	0.002512562814070352
509	0217	443	0.39954853273137697	0.18961625282167044	0.0	0.21670428893905191	0.004514672686230248	0.002257336343115124	0.1873589164785553	0.0	0.0
510	0217	249	0.26104417670682734	0.30120481927710846	0.0	0.21686746987951808	0.008032128514056224	0.0	0.21285140562248997	0.0	0.0
511	0217	348	0.4224137931034483	0.21839080459770116	0.0	0.25862068965517243	0.005747126436781609	0.0028735632183908046	0.08908045977011494	0.0	0.0028735632183908046
512	0217	2414	0.43579121789560893	0.10314830157415078	0.0012427506213753107	0.323943661971831	0.02775476387738194	0.0115990057995029	0.08533554266777134	0.003728251864125932	0.007456503728251864
513	0217	545	0.48073394495412847	0.027522935779816515	0.0	0.3394495412844037	0.047706422018348627	0.02018348623853211	0.08256880733944955	0.001834862385321101	0.0
514	0217	178	0.5393258426966292	0.06741573033707865	0.0	0.2640449438202247	0.016853932584269662	0.0056179775280898875	0.10674157303370786	0.0	0.0
515	0217	139	0.38848920863309355	0.2517985611510791	0.0	0.16546762589928057	0.0	0.0	0.19424460431654678	0.0	0.0
516	0217	227	0.2643171806167401	0.3656387665198238	0.004405286343612335	0.20704845814977973	0.0	0.004405286343612335	0.15418502202643172	0.0	0.0
517	0217	441	0.2585034013605442	0.19727891156462585	0.0022675736961451248	0.3424036281179138	0.05442176870748299	0.09977324263038549	0.03854875283446712	0.0	0.006802721088435374
518	0217	174	0.5057471264367817	0.08620689655172414	0.005747126436781609	0.19540229885057472	0.011494252873563218	0.005747126436781609	0.1896551724137931	0.0	0.0
